STAT_DATE,XMMC,date
2015-05-06,(B)╤╛╧о(╟К),20150506
2015-05-07,(B)╤╛╧о(╟К),20150507
2015-05-08,(B)╤╛╧о(╟К),20150508
2015-05-09,(B)╤╛╧о(╟К),20150509
2015-05-10,(B)╤╛╧о(╟К),20150510
2015-05-11,(B)╤╛╧о(╟К),20150511
2015-05-12,(B)╤╛╧о(╟К),20150512
2015-05-13,(B)╤╛╧о(╟К),20150513
2015-05-14,(B)╤╛╧о(╟К),20150514
2015-05-15,(B)╤╛╧о(╟К),20150515
2015-05-16,(B)╤╛╧о(╟К),20150516
2015-05-17,(B)╤╛╧о(╟К),20150517
2015-05-18,(B)╤╛╧о(╟К),20150518
2015-05-19,(B)╤╛╧о(╟К),20150519
2015-05-20,(B)╤╛╧о(╟К),20150520
2015-05-21,(B)╤╛╧о(╟К),20150521
2015-05-22,(B)╤╛╧о(╟К),20150522
2015-05-23,(B)╤╛╧о(╟К),20150523
2015-05-24,(B)╤╛╧о(╟К),20150524
2015-05-25,(B)╤╛╧о(╟К),20150525
2015-05-26,(B)╤╛╧о(╟К),20150526
2015-05-27,(B)╤╛╧о(╟К),20150527
2015-05-28,(B)╤╛╧о(╟К),20150528
2015-05-29,(B)╤╛╧о(╟К),20150529
2015-05-30,(B)╤╛╧о(╟К),20150530
2015-05-31,(B)╤╛╧о(╟К),20150531
2015-06-01,(B)╤╛╧о(╟К),20150601
2015-06-02,(B)╤╛╧о(╟К),20150602
2015-06-03,(B)╤╛╧о(╟К),20150603
2015-06-04,(B)╤╛╧о(╟К),20150604
2015-06-05,(B)╤╛╧о(╟К),20150605
2015-06-06,(B)╤╛╧о(╟К),20150606
2015-06-07,(B)╤╛╧о(╟К),20150607
2015-06-08,(B)╤╛╧о(╟К),20150608
2015-06-09,(B)╤╛╧о(╟К),20150609
2015-06-10,(B)╤╛╧о(╟К),20150610
2015-06-11,(B)╤╛╧о(╟К),20150611
2015-06-12,(B)╤╛╧о(╟К),20150612
2015-06-13,(B)╤╛╧о(╟К),20150613
2015-06-14,(B)╤╛╧о(╟К),20150614
2015-06-15,(B)╤╛╧о(╟К),20150615
2015-06-16,(B)╤╛╧о(╟К),20150616
2015-06-17,(B)╤╛╧о(╟К),20150617
2015-06-18,(B)╤╛╧о(╟К),20150618
2015-06-19,(B)╤╛╧о(╟К),20150619
2015-06-20,(B)╤╛╧о(╟К),20150620
2015-06-21,(B)╤╛╧о(╟К),20150621
2015-06-22,(B)╤╛╧о(╟К),20150622
2015-06-23,(B)╤╛╧о(╟К),20150623
2015-06-24,(B)╤╛╧о(╟К),20150624
2015-06-25,(B)╤╛╧о(╟К),20150625
2015-06-26,(B)╤╛╧о(╟К),20150626
2015-06-27,(B)╤╛╧о(╟К),20150627
2015-06-28,(B)╤╛╧о(╟К),20150628
2015-06-29,(B)╤╛╧о(╟К),20150629
2015-06-30,(B)╤╛╧о(╟К),20150630
2015-07-01,(B)╤╛╧о(╟К),20150701
2015-07-02,(B)╤╛╧о(╟К),20150702
2015-07-03,(B)╤╛╧о(╟К),20150703
2015-07-04,(B)╤╛╧о(╟К),20150704
2015-07-05,(B)╤╛╧о(╟К),20150705
2015-07-06,(B)╤╛╧о(╟К),20150706
2015-07-07,(B)╤╛╧о(╟К),20150707
2015-07-08,(B)╤╛╧о(╟К),20150708
2015-07-09,(B)╤╛╧о(╟К),20150709
2015-07-10,(B)╤╛╧о(╟К),20150710
2015-07-11,(B)╤╛╧о(╟К),20150711
2015-07-12,(B)╤╛╧о(╟К),20150712
2015-07-13,(B)╤╛╧о(╟К),20150713
2015-07-14,(B)╤╛╧о(╟К),20150714
2015-07-15,(B)╤╛╧о(╟К),20150715
2015-07-16,(B)╤╛╧о(╟К),20150716
2015-07-17,(B)╤╛╧о(╟К),20150717
2015-07-18,(B)╤╛╧о(╟К),20150718
2015-07-19,(B)╤╛╧о(╟К),20150719
2015-07-20,(B)╤╛╧о(╟К),20150720
2015-07-21,(B)╤╛╧о(╟К),20150721
2015-07-22,(B)╤╛╧о(╟К),20150722
2015-07-23,(B)╤╛╧о(╟К),20150723
2015-07-24,(B)╤╛╧о(╟К),20150724
2015-07-25,(B)╤╛╧о(╟К),20150725
2015-07-26,(B)╤╛╧о(╟К),20150726
2015-07-27,(B)╤╛╧о(╟К),20150727
2015-07-28,(B)╤╛╧о(╟К),20150728
2015-07-29,(B)╤╛╧о(╟К),20150729
2015-07-30,(B)╤╛╧о(╟К),20150730
2015-07-31,(B)╤╛╧о(╟К),20150731
2015-08-01,(B)╤╛╧о(╟К),20150801
2015-08-02,(B)╤╛╧о(╟К),20150802
2015-08-03,(B)╤╛╧о(╟К),20150803
2015-08-04,(B)╤╛╧о(╟К),20150804
2015-08-05,(B)╤╛╧о(╟К),20150805
2015-08-06,(B)╤╛╧о(╟К),20150806
2015-08-07,(B)╤╛╧о(╟К),20150807
2015-08-08,(B)╤╛╧о(╟К),20150808
2015-08-09,(B)╤╛╧о(╟К),20150809
2015-08-10,(B)╤╛╧о(╟К),20150810
2015-08-11,(B)╤╛╧о(╟К),20150811
2015-08-12,(B)╤╛╧о(╟К),20150812
2015-08-13,(B)╤╛╧о(╟К),20150813
2015-08-14,(B)╤╛╧о(╟К),20150814
2015-08-17,(B)╤╛╧о(╟К),20150817
2015-08-18,(B)╤╛╧о(╟К),20150818
2015-08-19,(B)╤╛╧о(╟К),20150819
2015-08-20,(B)╤╛╧о(╟К),20150820
2015-08-21,(B)╤╛╧о(╟К),20150821
2015-08-22,(B)╤╛╧о(╟К),20150822
2015-08-23,(B)╤╛╧о(╟К),20150823
2015-08-24,(B)╤╛╧о(╟К),20150824
2015-08-25,(B)╤╛╧о(╟К),20150825
2015-08-26,(B)╤╛╧о(╟К),20150826
2015-08-27,(B)╤╛╧о(╟К),20150827
2015-08-28,(B)╤╛╧о(╟К),20150828
2015-08-29,(B)╤╛╧о(╟К),20150829
2015-08-30,(B)╤╛╧о(╟К),20150830
2015-08-31,(B)╤╛╧о(╟К),20150831
2015-09-01,(B)╤╛╧о(╟К),20150901
2015-09-02,(B)╤╛╧о(╟К),20150902
2015-09-03,(B)╤╛╧о(╟К),20150903
2015-09-04,(B)╤╛╧о(╟К),20150904
2015-09-05,(B)╤╛╧о(╟К),20150905
2015-09-06,(B)╤╛╧о(╟К),20150906
2015-09-07,(B)╤╛╧о(╟К),20150907
2015-09-08,(B)╤╛╧о(╟К),20150908
2015-09-09,(B)╤╛╧о(╟К),20150909
2015-09-10,(B)╤╛╧о(╟К),20150910
2015-09-11,(B)╤╛╧о(╟К),20150911
2015-09-12,(B)╤╛╧о(╟К),20150912
2015-09-13,(B)╤╛╧о(╟К),20150913
2015-09-14,(B)╤╛╧о(╟К),20150914
2015-09-15,(B)╤╛╧о(╟К),20150915
2015-09-16,(B)╤╛╧о(╟К),20150916
2015-09-17,(B)╤╛╧о(╟К),20150917
2015-09-18,(B)╤╛╧о(╟К),20150918
2015-09-19,(B)╤╛╧о(╟К),20150919
2015-09-20,(B)╤╛╧о(╟К),20150920
2015-09-21,(B)╤╛╧о(╟К),20150921
2015-09-22,(B)╤╛╧о(╟К),20150922
2015-09-23,(B)╤╛╧о(╟К),20150923
2015-09-24,(B)╤╛╧о(╟К),20150924
2015-09-25,(B)╤╛╧о(╟К),20150925
2015-09-26,(B)╤╛╧о(╟К),20150926
2015-09-27,(B)╤╛╧о(╟К),20150927
2015-09-28,(B)╤╛╧о(╟К),20150928
2015-09-29,(B)╤╛╧о(╟К),20150929
2015-09-30,(B)╤╛╧о(╟К),20150930
2015-10-01,(B)╤╛╧о(╟К),20151001
2015-10-02,(B)╤╛╧о(╟К),20151002
2015-10-03,(B)╤╛╧о(╟К),20151003
2015-10-04,(B)╤╛╧о(╟К),20151004
2015-10-05,(B)╤╛╧о(╟К),20151005
2015-10-06,(B)╤╛╧о(╟К),20151006
2015-10-07,(B)╤╛╧о(╟К),20151007
2015-10-08,(B)╤╛╧о(╟К),20151008
2015-10-09,(B)╤╛╧о(╟К),20151009
2015-10-10,(B)╤╛╧о(╟К),20151010
2015-10-11,(B)╤╛╧о(╟К),20151011
2015-10-12,(B)╤╛╧о(╟К),20151012
2015-10-13,(B)╤╛╧о(╟К),20151013
2015-10-14,(B)╤╛╧о(╟К),20151014
2015-10-15,(B)╤╛╧о(╟К),20151015
2015-10-16,(B)╤╛╧о(╟К),20151016
2015-10-17,(B)╤╛╧о(╟К),20151017
2015-10-18,(B)╤╛╧о(╟К),20151018
2015-10-19,(B)╤╛╧о(╟К),20151019
2015-10-20,(B)╤╛╧о(╟К),20151020
2015-10-21,(B)╤╛╧о(╟К),20151021
2015-10-22,(B)╤╛╧о(╟К),20151022
2015-10-23,(B)╤╛╧о(╟К),20151023
2015-10-24,(B)╤╛╧о(╟К),20151024
2015-10-25,(B)╤╛╧о(╟К),20151025
2015-10-26,(B)╤╛╧о(╟К),20151026
2015-10-27,(B)╤╛╧о(╟К),20151027
2015-10-28,(B)╤╛╧о(╟К),20151028
2015-10-29,(B)╤╛╧о(╟К),20151029
2015-10-30,(B)╤╛╧о(╟К),20151030
2015-10-31,(B)╤╛╧о(╟К),20151031
2015-11-01,(B)╤╛╧о(╟К),20151101
2015-11-02,(B)╤╛╧о(╟К),20151102
2015-11-03,(B)╤╛╧о(╟К),20151103
2015-11-04,(B)╤╛╧о(╟К),20151104
2015-11-05,(B)╤╛╧о(╟К),20151105
2015-11-06,(B)╤╛╧о(╟К),20151106
2015-11-07,(B)╤╛╧о(╟К),20151107
2015-11-08,(B)╤╛╧о(╟К),20151108
2015-11-09,(B)╤╛╧о(╟К),20151109
2015-11-10,(B)╤╛╧о(╟К),20151110
2015-11-11,(B)╤╛╧о(╟К),20151111
2015-11-12,(B)╤╛╧о(╟К),20151112
2015-11-13,(B)╤╛╧о(╟К),20151113
2015-11-14,(B)╤╛╧о(╟К),20151114
2015-11-15,(B)╤╛╧о(╟К),20151115
2015-11-16,(B)╤╛╧о(╟К),20151116
2015-11-17,(B)╤╛╧о(╟К),20151117
2015-11-18,(B)╤╛╧о(╟К),20151118
2015-11-19,(B)╤╛╧о(╟К),20151119
2015-11-20,(B)╤╛╧о(╟К),20151120
2015-11-21,(B)╤╛╧о(╟К),20151121
2015-11-22,(B)╤╛╧о(╟К),20151122
2015-11-23,(B)╤╛╧о(╟К),20151123
2015-11-24,(B)╤╛╧о(╟К),20151124
2015-11-25,(B)╤╛╧о(╟К),20151125
2015-11-26,(B)╤╛╧о(╟К),20151126
2015-11-27,(B)╤╛╧о(╟К),20151127
2015-11-28,(B)╤╛╧о(╟К),20151128
2015-11-29,(B)╤╛╧о(╟К),20151129
2015-11-30,(B)╤╛╧о(╟К),20151130
2015-12-01,(B)╤╛╧о(╟К),20151201
2015-12-02,(B)╤╛╧о(╟К),20151202
2015-12-03,(B)╤╛╧о(╟К),20151203
2015-12-04,(B)╤╛╧о(╟К),20151204
2015-12-05,(B)╤╛╧о(╟К),20151205
2015-12-06,(B)╤╛╧о(╟К),20151206
2015-12-07,(B)╤╛╧о(╟К),20151207
2015-12-08,(B)╤╛╧о(╟К),20151208
2015-12-09,(B)╤╛╧о(╟К),20151209
2015-12-10,(B)╤╛╧о(╟К),20151210
2015-12-11,(B)╤╛╧о(╟К),20151211
2015-12-12,(B)╤╛╧о(╟К),20151212
2015-12-13,(B)╤╛╧о(╟К),20151213
2015-12-14,(B)╤╛╧о(╟К),20151214
2015-12-15,(B)╤╛╧о(╟К),20151215
2015-12-16,(B)╤╛╧о(╟К),20151216
2015-12-17,(B)╤╛╧о(╟К),20151217
2015-12-18,(B)╤╛╧о(╟К),20151218
2015-12-19,(B)╤╛╧о(╟К),20151219
2015-12-20,(B)╤╛╧о(╟К),20151220
2015-12-21,(B)╤╛╧о(╟К),20151221
2015-12-22,(B)╤╛╧о(╟К),20151222
2015-12-23,(B)╤╛╧о(╟К),20151223
2015-12-24,(B)╤╛╧о(╟К),20151224
