STAT_DATE,XMMC,day_of_week,common_holiday,holiday
20150501,(B)╤╛╧о(╟К),4,0,2
20150502,(B)╤╛╧о(╟К),5,1,2
20150503,(B)╤╛╧о(╟К),6,1,2
20150504,(B)╤╛╧о(╟К),0,0,0
20150505,(B)╤╛╧о(╟К),1,0,0
20150506,(B)╤╛╧о(╟К),2,0,0
20150507,(B)╤╛╧о(╟К),3,0,0
20150508,(B)╤╛╧о(╟К),4,0,0
20150509,(B)╤╛╧о(╟К),5,1,1
20150510,(B)╤╛╧о(╟К),6,1,1
20150511,(B)╤╛╧о(╟К),0,0,0
20150512,(B)╤╛╧о(╟К),1,0,0
20150513,(B)╤╛╧о(╟К),2,0,0
20150514,(B)╤╛╧о(╟К),3,0,0
20150515,(B)╤╛╧о(╟К),4,0,0
20150516,(B)╤╛╧о(╟К),5,1,1
20150517,(B)╤╛╧о(╟К),6,1,1
20150518,(B)╤╛╧о(╟К),0,0,0
20150519,(B)╤╛╧о(╟К),1,0,0
20150520,(B)╤╛╧о(╟К),2,0,0
20150521,(B)╤╛╧о(╟К),3,0,0
20150522,(B)╤╛╧о(╟К),4,0,0
20150523,(B)╤╛╧о(╟К),5,1,1
20150524,(B)╤╛╧о(╟К),6,1,1
20150525,(B)╤╛╧о(╟К),0,0,0
20150526,(B)╤╛╧о(╟К),1,0,0
20150527,(B)╤╛╧о(╟К),2,0,0
20150528,(B)╤╛╧о(╟К),3,0,0
20150529,(B)╤╛╧о(╟К),4,0,0
20150530,(B)╤╛╧о(╟К),5,1,1
20150531,(B)╤╛╧о(╟К),6,1,1
20150601,(B)╤╛╧о(╟К),0,0,0
20150602,(B)╤╛╧о(╟К),1,0,0
20150603,(B)╤╛╧о(╟К),2,0,0
20150604,(B)╤╛╧о(╟К),3,0,0
20150605,(B)╤╛╧о(╟К),4,0,0
20150606,(B)╤╛╧о(╟К),5,1,1
20150607,(B)╤╛╧о(╟К),6,1,1
20150608,(B)╤╛╧о(╟К),0,0,0
20150609,(B)╤╛╧о(╟К),1,0,0
20150610,(B)╤╛╧о(╟К),2,0,0
20150611,(B)╤╛╧о(╟К),3,0,0
20150612,(B)╤╛╧о(╟К),4,0,0
20150613,(B)╤╛╧о(╟К),5,1,1
20150614,(B)╤╛╧о(╟К),6,1,1
20150615,(B)╤╛╧о(╟К),0,0,0
