STAT_DATE,XMMC,weather,ssd
2015-05-01,(B)¶¬¹Ï(°ë),3,62.678450526315785
2015-05-02,(B)¶¬¹Ï(°ë),2,59.4784505263158
2015-05-03,(B)¶¬¹Ï(°ë),1,57.84440000000001
2015-05-04,(B)¶¬¹Ï(°ë),2,61.04440000000001
2015-05-05,(B)¶¬¹Ï(°ë),1,64.31630222222222
2015-05-06,(B)¶¬¹Ï(°ë),3,59.41360761904761
2015-05-07,(B)¶¬¹Ï(°ë),3,70.6444
2015-05-08,(B)¶¬¹Ï(°ë),2,65.76009739130436
2015-05-09,(B)¶¬¹Ï(°ë),3,56.044115862068956
2015-05-10,(B)¶¬¹Ï(°ë),4,47.97899294117647
2015-05-11,(B)¶¬¹Ï(°ë),2,52.9152
2015-05-12,(B)¶¬¹Ï(°ë),1,64.40626
2015-05-13,(B)¶¬¹Ï(°ë),2,66.06026666666666
2015-05-14,(B)¶¬¹Ï(°ë),2,65.95862588235295
2015-05-15,(B)¶¬¹Ï(°ë),1,70.6444
2015-05-16,(B)¶¬¹Ï(°ë),2,69.26026666666667
2015-05-17,(B)¶¬¹Ï(°ë),3,69.26026666666667
2015-05-18,(B)¶¬¹Ï(°ë),1,64.40626
2015-05-19,(B)¶¬¹Ï(°ë),1,62.75862588235295
2015-05-20,(B)¶¬¹Ï(°ë),1,78.86026666666666
2015-05-21,(B)¶¬¹Ï(°ë),1,69.26026666666667
2015-05-22,(B)¶¬¹Ï(°ë),1,80.52201142857146
2015-05-23,(B)¶¬¹Ï(°ë),2,82.19328
2015-05-24,(B)¶¬¹Ï(°ë),2,74.27645333333334
2015-05-25,(B)¶¬¹Ï(°ë),1,74.4928
2015-05-26,(B)¶¬¹Ï(°ë),2,77.6928
2015-05-27,(B)¶¬¹Ï(°ë),2,82.19328
2015-05-28,(B)¶¬¹Ï(°ë),3,70.92201142857145
2015-05-29,(B)¶¬¹Ï(°ë),2,77.20626
2015-05-30,(B)¶¬¹Ï(°ë),1,70.92201142857145
2015-05-31,(B)¶¬¹Ï(°ë),2,77.6928
2015-06-01,(B)¶¬¹Ï(°ë),2,75.9747781818182
2015-06-02,(B)¶¬¹Ï(°ë),1,71.07645333333333
2015-06-03,(B)¶¬¹Ï(°ë),2,82.19328
2015-06-04,(B)¶¬¹Ï(°ë),2,67.38562909090909
2015-06-05,(B)¶¬¹Ï(°ë),1,82.19328
2015-06-06,(B)¶¬¹Ï(°ë),2,82.19328
2015-06-07,(B)¶¬¹Ï(°ë),2,77.20626
2015-06-08,(B)¶¬¹Ï(°ë),2,82.19328
2015-06-09,(B)¶¬¹Ï(°ë),3,77.20626
2015-06-10,(B)¶¬¹Ï(°ë),3,70.6444
2015-06-11,(B)¶¬¹Ï(°ë),2,69.26026666666667
2015-06-12,(B)¶¬¹Ï(°ë),2,64.40626
2015-06-13,(B)¶¬¹Ï(°ë),2,65.95862588235295
2015-06-14,(B)¶¬¹Ï(°ë),1,82.19328
