STAT_DATE,XMMC,year,month,day
2015-05-01,(B)冬瓜(半),2015,5,1
2015-05-02,(B)冬瓜(半),2015,5,2
2015-05-03,(B)冬瓜(半),2015,5,3
2015-05-04,(B)冬瓜(半),2015,5,4
2015-05-05,(B)冬瓜(半),2015,5,5
2015-05-06,(B)冬瓜(半),2015,5,6
2015-05-07,(B)冬瓜(半),2015,5,7
2015-05-08,(B)冬瓜(半),2015,5,8
2015-05-09,(B)冬瓜(半),2015,5,9
2015-05-10,(B)冬瓜(半),2015,5,10
2015-05-11,(B)冬瓜(半),2015,5,11
2015-05-12,(B)冬瓜(半),2015,5,12
2015-05-13,(B)冬瓜(半),2015,5,13
2015-05-14,(B)冬瓜(半),2015,5,14
2015-05-15,(B)冬瓜(半),2015,5,15
2015-05-16,(B)冬瓜(半),2015,5,16
2015-05-17,(B)冬瓜(半),2015,5,17
2015-05-18,(B)冬瓜(半),2015,5,18
2015-05-19,(B)冬瓜(半),2015,5,19
2015-05-20,(B)冬瓜(半),2015,5,20
2015-05-21,(B)冬瓜(半),2015,5,21
2015-05-22,(B)冬瓜(半),2015,5,22
2015-05-23,(B)冬瓜(半),2015,5,23
2015-05-24,(B)冬瓜(半),2015,5,24
2015-05-25,(B)冬瓜(半),2015,5,25
2015-05-26,(B)冬瓜(半),2015,5,26
2015-05-27,(B)冬瓜(半),2015,5,27
2015-05-28,(B)冬瓜(半),2015,5,28
2015-05-29,(B)冬瓜(半),2015,5,29
2015-05-30,(B)冬瓜(半),2015,5,30
2015-05-31,(B)冬瓜(半),2015,5,31
2015-06-01,(B)冬瓜(半),2015,6,1
2015-06-02,(B)冬瓜(半),2015,6,2
2015-06-03,(B)冬瓜(半),2015,6,3
2015-06-04,(B)冬瓜(半),2015,6,4
2015-06-05,(B)冬瓜(半),2015,6,5
2015-06-06,(B)冬瓜(半),2015,6,6
2015-06-07,(B)冬瓜(半),2015,6,7
2015-06-08,(B)冬瓜(半),2015,6,8
2015-06-09,(B)冬瓜(半),2015,6,9
2015-06-10,(B)冬瓜(半),2015,6,10
2015-06-11,(B)冬瓜(半),2015,6,11
2015-06-12,(B)冬瓜(半),2015,6,12
2015-06-13,(B)冬瓜(半),2015,6,13
2015-06-14,(B)冬瓜(半),2015,6,14
2015-06-15,(B)冬瓜(半),2015,6,15
2015-06-16,(B)冬瓜(半),2015,6,16
2015-06-17,(B)冬瓜(半),2015,6,17
2015-06-18,(B)冬瓜(半),2015,6,18
2015-06-19,(B)冬瓜(半),2015,6,19
2015-06-20,(B)冬瓜(半),2015,6,20
2015-06-21,(B)冬瓜(半),2015,6,21
2015-06-22,(B)冬瓜(半),2015,6,22
2015-06-23,(B)冬瓜(半),2015,6,23
2015-06-24,(B)冬瓜(半),2015,6,24
2015-06-25,(B)冬瓜(半),2015,6,25
2015-06-26,(B)冬瓜(半),2015,6,26
2015-06-27,(B)冬瓜(半),2015,6,27
2015-06-28,(B)冬瓜(半),2015,6,28
2015-06-29,(B)冬瓜(半),2015,6,29
