STAT_DATE,XMMC,CMSL,CMSL_outlier,day_of_week,holiday
2015-05-06,(B)∂¨πœ(∞Î),26,26.0,2,0.0
2015-05-07,(B)∂¨πœ(∞Î),38,38.0,3,0.0
2015-05-08,(B)∂¨πœ(∞Î),33,33.0,4,0.0
2015-05-09,(B)∂¨πœ(∞Î),58,58.0,5,1.0
2015-05-10,(B)∂¨πœ(∞Î),65,60.5,6,1.0
2015-05-11,(B)∂¨πœ(∞Î),33,33.0,0,0.0
2015-05-12,(B)∂¨πœ(∞Î),37,37.0,1,0.0
2015-05-13,(B)∂¨πœ(∞Î),40,40.0,2,0.0
2015-05-14,(B)∂¨πœ(∞Î),23,23.0,3,0.0
2015-05-15,(B)∂¨πœ(∞Î),38,38.0,4,0.0
2015-05-16,(B)∂¨πœ(∞Î),56,56.0,5,1.0
2015-05-17,(B)∂¨πœ(∞Î),62,60.5,6,1.0
2015-05-18,(B)∂¨πœ(∞Î),28,28.0,0,0.0
2015-05-19,(B)∂¨πœ(∞Î),22,25.75,1,0.0
2015-05-20,(B)∂¨πœ(∞Î),32,32.0,2,0.0
2015-05-21,(B)∂¨πœ(∞Î),34,34.0,3,0.0
2015-05-22,(B)∂¨πœ(∞Î),36,36.0,4,0.0
2015-05-23,(B)∂¨πœ(∞Î),59,59.0,5,1.0
2015-05-24,(B)∂¨πœ(∞Î),56,56.0,6,1.0
2015-05-25,(B)∂¨πœ(∞Î),22,25.75,0,0.0
2015-05-26,(B)∂¨πœ(∞Î),25,25.0,1,0.0
2015-05-27,(B)∂¨πœ(∞Î),34,34.0,2,0.0
2015-05-28,(B)∂¨πœ(∞Î),26,26.0,3,0.0
2015-05-29,(B)∂¨πœ(∞Î),43,37.25,4,0.0
2015-05-30,(B)∂¨πœ(∞Î),49,56.0,5,1.0
2015-05-31,(B)∂¨πœ(∞Î),60,60.0,6,1.0
2015-06-01,(B)∂¨πœ(∞Î),41,37.25,0,0.0
2015-06-02,(B)∂¨πœ(∞Î),21,25.75,1,0.0
2015-06-03,(B)∂¨πœ(∞Î),34,34.0,2,0.0
2015-06-04,(B)∂¨πœ(∞Î),47,41.25,3,0.0
2015-06-05,(B)∂¨πœ(∞Î),38,38.0,4,0.0
2015-06-06,(B)∂¨πœ(∞Î),47,53.0,5,1.0
2015-06-07,(B)∂¨πœ(∞Î),55,55.0,6,1.0
2015-06-08,(B)∂¨πœ(∞Î),32,32.0,0,0.0
2015-06-09,(B)∂¨πœ(∞Î),41,41.0,1,0.0
2015-06-10,(B)∂¨πœ(∞Î),38,38.0,2,0.0
2015-06-11,(B)∂¨πœ(∞Î),33,33.0,3,0.0
2015-06-12,(B)∂¨πœ(∞Î),40,40.0,4,0.0
