STAT_DATE,XMMC,CMSL,CMSL_outlier,same_week1_sales_percent
2015-05-06,(B)¶¬¹Ï(°ë),26,26.0,0.0
2015-05-07,(B)¶¬¹Ï(°ë),38,38.0,0.0
2015-05-08,(B)¶¬¹Ï(°ë),33,33.0,0.0
2015-05-09,(B)¶¬¹Ï(°ë),58,58.0,0.0
2015-05-10,(B)¶¬¹Ï(°ë),65,60.5,0.0
2015-05-11,(B)¶¬¹Ï(°ë),33,33.0,0.0
2015-05-12,(B)¶¬¹Ï(°ë),37,37.0,0.0
2015-05-13,(B)¶¬¹Ï(°ë),40,40.0,0.0
2015-05-14,(B)¶¬¹Ï(°ë),23,23.0,0.0
2015-05-15,(B)¶¬¹Ï(°ë),38,38.0,0.0
2015-05-16,(B)¶¬¹Ï(°ë),56,56.0,0.0
2015-05-17,(B)¶¬¹Ï(°ë),62,60.5,0.0
2015-05-18,(B)¶¬¹Ï(°ë),28,28.0,0.0
2015-05-19,(B)¶¬¹Ï(°ë),22,25.75,0.0
2015-05-20,(B)¶¬¹Ï(°ë),32,32.0,0.09106830122591944
2015-05-21,(B)¶¬¹Ï(°ë),34,34.0,0.1330998248686515
2015-05-22,(B)¶¬¹Ï(°ë),36,36.0,0.11558669001751314
2015-05-23,(B)¶¬¹Ï(°ë),59,59.0,0.2031523642732049
2015-05-24,(B)¶¬¹Ï(°ë),56,56.0,0.2119089316987741
2015-05-25,(B)¶¬¹Ï(°ë),22,25.75,0.11558669001751314
2015-05-26,(B)¶¬¹Ï(°ë),25,25.0,0.1295971978984238
2015-05-27,(B)¶¬¹Ï(°ë),34,34.0,0.14746543778801843
2015-05-28,(B)¶¬¹Ï(°ë),26,26.0,0.0847926267281106
2015-05-29,(B)¶¬¹Ï(°ë),43,37.25,0.1400921658986175
2015-05-30,(B)¶¬¹Ï(°ë),49,56.0,0.2064516129032258
2015-05-31,(B)¶¬¹Ï(°ë),60,60.0,0.22304147465437787
2015-06-01,(B)¶¬¹Ï(°ë),41,37.25,0.1032258064516129
2015-06-02,(B)¶¬¹Ï(°ë),21,25.75,0.09493087557603687
2015-06-03,(B)¶¬¹Ï(°ë),34,34.0,0.11951447245564893
2015-06-04,(B)¶¬¹Ï(°ë),47,41.25,0.12698412698412698
2015-06-05,(B)¶¬¹Ï(°ë),38,38.0,0.13445378151260504
2015-06-06,(B)¶¬¹Ï(°ë),47,53.0,0.2203548085901027
2015-06-07,(B)¶¬¹Ï(°ë),55,55.0,0.20915032679738563
2015-06-08,(B)¶¬¹Ï(°ë),32,32.0,0.096171802054155
2015-06-09,(B)¶¬¹Ï(°ë),41,41.0,0.09337068160597572
2015-06-10,(B)¶¬¹Ï(°ë),38,38.0,0.12307692307692308
2015-06-11,(B)¶¬¹Ï(°ë),33,33.0,0.09411764705882353
2015-06-12,(B)¶¬¹Ï(°ë),40,40.0,0.134841628959276
2015-06-13,(B)¶¬¹Ï(°ë),65,65.0,0.20271493212669683
2015-06-14,(B)¶¬¹Ï(°ë),57,57.0,0.2171945701357466
2015-06-15,(B)¶¬¹Ï(°ë),27,33.0,0.134841628959276
2015-06-16,(B)¶¬¹Ï(°ë),33,33.0,0.09321266968325792
2015-06-17,(B)¶¬¹Ï(°ë),33,33.0,0.11554800339847068
2015-06-18,(B)¶¬¹Ï(°ë),38,38.0,0.14018691588785046
2015-06-19,(B)¶¬¹Ï(°ë),42,42.0,0.12914188615123195
2015-06-20,(B)¶¬¹Ï(°ë),75,69.25,0.18011894647408666
2015-06-21,(B)¶¬¹Ï(°ë),69,69.0,0.18691588785046728
2015-06-22,(B)¶¬¹Ï(°ë),52,64.75,0.10875106202209006
2015-06-23,(B)¶¬¹Ï(°ë),27,33.0,0.1393372982158029
2015-06-24,(B)¶¬¹Ï(°ë),45,41.25,0.12709030100334448
2015-06-25,(B)¶¬¹Ï(°ë),41,41.0,0.11036789297658862
2015-06-26,(B)¶¬¹Ï(°ë),41,41.0,0.13377926421404682
2015-06-27,(B)¶¬¹Ï(°ë),70,70.0,0.21739130434782608
2015-06-28,(B)¶¬¹Ï(°ë),43,53.0,0.19063545150501673
2015-06-29,(B)¶¬¹Ï(°ë),35,35.0,0.11036789297658862
2015-06-30,(B)¶¬¹Ï(°ë),54,41.25,0.11036789297658862
2015-07-01,(B)¶¬¹Ï(°ë),31,36.75,0.09455587392550144
2015-07-02,(B)¶¬¹Ï(°ë),42,42.0,0.10888252148997135
2015-07-03,(B)¶¬¹Ï(°ë),36,36.0,0.12034383954154727
2015-07-04,(B)¶¬¹Ï(°ë),53,53.0,0.1984240687679083
2015-07-05,(B)¶¬¹Ï(°ë),68,68.0,0.1977077363896848
2015-07-06,(B)¶¬¹Ï(°ë),46,46.0,0.18553008595988538
2015-07-07,(B)¶¬¹Ï(°ë),40,40.0,0.09455587392550144
2015-07-08,(B)¶¬¹Ï(°ë),39,39.0,0.12790697674418605
2015-07-09,(B)¶¬¹Ï(°ë),49,49.0,0.12713178294573643
2015-07-10,(B)¶¬¹Ï(°ë),52,46.75,0.12713178294573643
2015-07-11,(B)¶¬¹Ï(°ë),69,69.0,0.21705426356589147
2015-07-12,(B)¶¬¹Ï(°ë),53,53.0,0.16434108527131783
2015-07-13,(B)¶¬¹Ï(°ë),40,40.0,0.10852713178294573
2015-07-14,(B)¶¬¹Ï(°ë),52,46.75,0.12790697674418605
2015-07-15,(B)¶¬¹Ï(°ë),50,46.75,0.11421911421911422
2015-07-16,(B)¶¬¹Ï(°ë),23,36.75,0.13053613053613053
2015-07-17,(B)¶¬¹Ï(°ë),41,41.0,0.11188811188811189
2015-07-18,(B)¶¬¹Ï(°ë),73,68.25,0.16472416472416473
2015-07-19,(B)¶¬¹Ï(°ë),67,67.0,0.21134421134421136
2015-07-20,(B)¶¬¹Ï(°ë),40,40.0,0.14296814296814297
2015-07-21,(B)¶¬¹Ï(°ë),42,42.0,0.12432012432012432
2015-07-22,(B)¶¬¹Ï(°ë),32,36.75,0.11353711790393013
2015-07-23,(B)¶¬¹Ï(°ë),37,37.0,0.14264919941775836
2015-07-24,(B)¶¬¹Ï(°ë),39,39.0,0.13609898107714702
2015-07-25,(B)¶¬¹Ï(°ë),56,56.0,0.20087336244541484
2015-07-26,(B)¶¬¹Ï(°ë),46,53.0,0.15429403202328967
2015-07-27,(B)¶¬¹Ï(°ë),35,35.0,0.11644832605531295
2015-07-28,(B)¶¬¹Ï(°ë),53,46.75,0.13609898107714702
2015-07-29,(B)¶¬¹Ï(°ë),41,41.0,0.13679590343818582
2015-07-30,(B)¶¬¹Ï(°ë),44,44.0,0.1075347476225311
2015-07-31,(B)¶¬¹Ï(°ë),46,46.0,0.11997073884418434
2015-08-01,(B)¶¬¹Ï(°ë),56,56.0,0.19970738844184346
2015-08-02,(B)¶¬¹Ï(°ë),67,67.0,0.1960497439648866
2015-08-03,(B)¶¬¹Ï(°ë),35,40.25,0.11704462326261887
2015-08-04,(B)¶¬¹Ï(°ë),43,43.0,0.12289685442574981
2015-08-05,(B)¶¬¹Ï(°ë),46,46.0,0.12108731466227347
2015-08-06,(B)¶¬¹Ï(°ë),35,40.25,0.12191103789126853
2015-08-07,(B)¶¬¹Ï(°ë),43,43.0,0.128500823723229
2015-08-08,(B)¶¬¹Ï(°ë),66,66.0,0.18451400329489293
2015-08-09,(B)¶¬¹Ï(°ë),66,66.0,0.17462932454695224
2015-08-10,(B)¶¬¹Ï(°ë),42,42.0,0.11532125205930807
2015-08-11,(B)¶¬¹Ï(°ë),43,43.0,0.15403624382207579
2015-08-12,(B)¶¬¹Ï(°ë),40,40.0,0.12157153446997776
2015-08-13,(B)¶¬¹Ï(°ë),37,40.25,0.13046701260192736
2015-08-14,(B)¶¬¹Ï(°ë),51,45.5,0.1363973313565604
